model_name,source_project,target_project,scenario,top-1,top-5,top-10,MAP,MRR
BLAZE,jupyterlab/jupyterlab,lightning-ai/lightning,WP-small,0.1733,0.4267,0.5867,0.2503,0.3141
BLAZE,jupyterlab/jupyterlab,lightning-ai/lightning,WP-large,0.4133,0.6667,0.7333,0.4173,0.5311
BLAZE,jupyterlab/jupyterlab,lightning-ai/lightning,CP-cold-start,0.12,0.3333,0.48,0.1716,0.2232
BLAZE,jupyterlab/jupyterlab,lightning-ai/lightning,CP-transfer,0.32,0.6533,0.76,0.3599,0.4706
BLAZE,lightning-ai/lightning,jupyterlab/jupyterlab,WP-small,0.05,0.225,0.3,0.132,0.1562
BLAZE,lightning-ai/lightning,jupyterlab/jupyterlab,WP-large,0.325,0.575,0.7,0.3812,0.4846
BLAZE,lightning-ai/lightning,jupyterlab/jupyterlab,CP-cold-start,0.075,0.325,0.475,0.1424,0.2201
BLAZE,lightning-ai/lightning,jupyterlab/jupyterlab,CP-transfer,0.25,0.525,0.6,0.2942,0.3936
BLAZE,jupyterlab/jupyterlab,prefecthq/prefect,WP-small,0.1463,0.3293,0.5366,0.1964,0.2554
BLAZE,jupyterlab/jupyterlab,prefecthq/prefect,WP-large,0.3415,0.6829,0.8049,0.4001,0.4956
BLAZE,jupyterlab/jupyterlab,prefecthq/prefect,CP-cold-start,0.061,0.1829,0.3415,0.1058,0.1389
BLAZE,jupyterlab/jupyterlab,prefecthq/prefect,CP-transfer,0.2683,0.5976,0.6585,0.3228,0.4082
BLAZE,prefecthq/prefect,jupyterlab/jupyterlab,WP-small,0.125,0.225,0.35,0.1405,0.1853
BLAZE,prefecthq/prefect,jupyterlab/jupyterlab,WP-large,0.35,0.6,0.675,0.383,0.4869
BLAZE,prefecthq/prefect,jupyterlab/jupyterlab,CP-cold-start,0.225,0.5,0.65,0.2871,0.3599
BLAZE,prefecthq/prefect,jupyterlab/jupyterlab,CP-transfer,0.375,0.525,0.65,0.3826,0.4773
BLAZE,jupyterlab/jupyterlab,pydata/xarray,WP-small,0.04,0.16,0.24,0.1105,0.1168
