bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,278,4,274,0.172538161277771,0.8365545868873596
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,106,2,104,0.25059324502944946,0.957912266254425
jupyterlab__jupyterlab-12680,2f543d15e32f57214c3413ebab74ff89bb52810e,249,63,186,0.48201021552085876,4.925235012609876e-22
jupyterlab__jupyterlab-1503,d57097950ad913dfac4bf319fdabc93e7c63c7c6,93,3,90,0.28023064136505127,0.9334307909011841
jupyterlab__jupyterlab-1503,f386174b692dd18c696aeb806288400db4f79108,116,1,115,0.2700006365776062,0.9793540239334106
jupyterlab__jupyterlab-2038,c57a9eee02105f3d8e8ca55de8a096d13b536b82,6,1,5,0.5766997337341309,0.9367494583129883
jupyterlab__jupyterlab-2215,eb5079b6741359e9ebda17d938d09c52e50ef63e,50,1,49,0.42382532358169556,0.9990149736404419
jupyterlab__jupyterlab-2409,6b0ced67b0e8d97f587e6bf3d6fe98c10af50820,57,1,56,0.352451890707016,0.945600688457489
jupyterlab__jupyterlab-2410,5fba5dfd7c000902eb67c6238a2e608ce33e0b4f,29,3,26,0.35855862498283386,0.9553191661834717
jupyterlab__jupyterlab-2759,5e52c5e802fa0b77ee65bfbe892a08244aef58fd,276,1,275,0.24885660409927368,0.9900636076927185
jupyterlab__jupyterlab-2759,4f216705a888de6e3cf0b972fd731c4a4749c446,8,5,3,0.5598610639572144,0.799755334854126
jupyterlab__jupyterlab-2841,d045e85dccf53533e670e6d7af5f2abe14de7e54,39,2,37,0.3892871141433716,0.9933589100837708
jupyterlab__jupyterlab-3107,656fc38fefabcc786ca041756d0c8b5dd8141f3e,237,1,236,0.3410108685493469,0.9964063763618469
jupyterlab__jupyterlab-3127,0cf5ecbfafbeb2b77335e555c9117bb6ca0a4f97,79,2,77,0.2844184637069702,0.9897513389587402
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,195,1,194,0.2778996229171753,0.9953181147575378
jupyterlab__jupyterlab-4920,0ea7d024bb5f0fb8898ee5e7532de4ba7af50121,190,1,189,0.2992991507053375,0.9918121099472046
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,221,4,217,0.3531630039215088,0.8661325573921204
jupyterlab__jupyterlab-6451,6044127f84d5ccf60cec1869a526c823962b830d,169,1,168,0.3818647265434265,0.998793363571167
jupyterlab__jupyterlab-7723,0de688edaac853a931d3b76baba72ce0097d5b62,109,1,108,0.42115819454193115,0.9995487332344055
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,221,4,217,0.35439997911453247,0.08725224435329437
jupyterlab__jupyterlab-8779,7e00504041a5dab0947321cf05751c1ca46cba2f,238,1,237,0.43368372321128845,0.9852713346481323
jupyterlab__jupyterlab-8956,4bb7624ee6674515646873e269e08b72ac258f8a,110,2,108,0.45847460627555847,0.0676698088645935
jupyterlab__jupyterlab-9390,2b832a1977dfa6766af5626a61fcef5d0f99fd49,211,4,207,0.3272795081138611,0.9167081117630005
