bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
wagtail__wagtail-118,24fd0a2f1d0d2223631265eae41a26718bd7468d,118,127,-9,0.36129581928253174,0.7388575673103333
wagtail__wagtail-1273,f938585c1fc93d48c7a0eb74c86c3aab5a389c4d,282,4,278,0.29578545689582825,0.8725647330284119
wagtail__wagtail-1475,36cc6294a4b54e6a8b0c7e4939ca0a66db492661,109,24,85,0.3804914951324463,0.7369688749313354
wagtail__wagtail-1623,53dbe297a30fcc90491f1aae898549a3d9d8e814,108,7,101,0.38916605710983276,0.851706326007843
wagtail__wagtail-208,04d8b0a9ebfefb65b0dea8afee6b193a564e7a40,146,89,57,0.32445305585861206,0.7275885343551636
wagtail__wagtail-208,9d6b9590c2ee957f6e33d6fc6de91ec0557f3195,45,108,-63,0.36197078227996826,0.7189891934394836
wagtail__wagtail-208,027d61158102d46052094b8dc22348782f70f743,23,33,-10,0.4871237874031067,0.7849791049957275
wagtail__wagtail-208,500c4920cdd66176f9c9daa64bfcf54414322b6d,248,47,201,0.29931220412254333,0.765943706035614
wagtail__wagtail-208,c144b39b937e7046bb0f4a6875959d6bdc4f22fc,43,100,-57,0.36197078227996826,0.7233095169067383
wagtail__wagtail-208,6e30381c1b30896e34b5ed761d202f95b850beff,121,42,79,0.33156171441078186,0.7701191902160645
wagtail__wagtail-208,adc492adac433aa9bbf0afad8dba9630974b91de,66,130,-64,0.36197078227996826,0.7110297679901123
wagtail__wagtail-2880,d6bdc14aefbd5075ad61836538ba26e351187353,116,81,35,0.37131398916244507,0.8059378266334534
wagtail__wagtail-321,69e6b7f4f43bbeedbd9f1886d8381d670f9767a9,50,1,49,0.3817359209060669,0.8814108967781067
wagtail__wagtail-356,6b273e4b6539ca1dfd5ddf6f6ee620146fa95d6a,249,5,244,0.24634240567684174,0.8106288909912109
wagtail__wagtail-356,ee68f46554f5024c443da29ed842f0ed0c3c0c2e,147,52,95,0.28654325008392334,0.6981236934661865
wagtail__wagtail-426,f0336fec46a941eb474ee1980487f2411cb4b185,267,57,210,0.22150926291942596,0.7536479830741882
wagtail__wagtail-426,cf33bcbfbf826da61024c9fed5ff1503d5e0e369,246,2,244,0.23048977553844452,0.8654516339302063
wagtail__wagtail-426,f3c871507ae1031a399184d02404a80968fffe07,218,45,173,0.24058164656162262,0.7767922878265381
wagtail__wagtail-6442,57381ec39206272784831bb77dddb9f11ba322f5,208,59,149,0.4495598375797272,0.7813306450843811
wagtail__wagtail-7512,92c8d8e9574318ae475c3be7c66d357ed8ef6342,178,4,174,0.339476615190506,0.8914335370063782
wagtail__wagtail-8006,039b36031b83c2a09405921f8c419fad74dbf52d,34,152,-118,0.4750801622867584,0.7796576023101807
wagtail__wagtail-9236,88cc36875a110c7c1e8a283b1a695d59998deea9,101,58,43,0.4098171591758728,0.8155264854431152
