bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
wagtail__wagtail-118,24fd0a2f1d0d2223631265eae41a26718bd7468d,118,41,77,0.36129581928253174,0.2934044897556305
wagtail__wagtail-1273,f938585c1fc93d48c7a0eb74c86c3aab5a389c4d,282,1,281,0.29578545689582825,0.9196425676345825
wagtail__wagtail-1475,36cc6294a4b54e6a8b0c7e4939ca0a66db492661,109,8,101,0.3804914951324463,0.5684158205986023
wagtail__wagtail-1623,53dbe297a30fcc90491f1aae898549a3d9d8e814,108,1,107,0.38916605710983276,0.9437636137008667
wagtail__wagtail-208,6e30381c1b30896e34b5ed761d202f95b850beff,121,12,109,0.33156171441078186,0.729134202003479
wagtail__wagtail-208,c144b39b937e7046bb0f4a6875959d6bdc4f22fc,43,4,39,0.36197078227996826,0.8529354333877563
wagtail__wagtail-208,04d8b0a9ebfefb65b0dea8afee6b193a564e7a40,146,6,140,0.32445305585861206,0.837619960308075
wagtail__wagtail-208,9d6b9590c2ee957f6e33d6fc6de91ec0557f3195,45,16,29,0.36197078227996826,0.6949241161346436
wagtail__wagtail-208,027d61158102d46052094b8dc22348782f70f743,23,32,-9,0.4871237874031067,0.30445513129234314
wagtail__wagtail-208,500c4920cdd66176f9c9daa64bfcf54414322b6d,248,2,246,0.29931220412254333,0.8766343593597412
wagtail__wagtail-208,adc492adac433aa9bbf0afad8dba9630974b91de,66,19,47,0.36197078227996826,0.6729767918586731
wagtail__wagtail-2880,d6bdc14aefbd5075ad61836538ba26e351187353,116,212,-96,0.37131398916244507,4.658885768355414e-15
wagtail__wagtail-321,69e6b7f4f43bbeedbd9f1886d8381d670f9767a9,50,7,43,0.3817359209060669,0.8665847778320312
wagtail__wagtail-356,6b273e4b6539ca1dfd5ddf6f6ee620146fa95d6a,249,1,248,0.24634240567684174,0.9399133324623108
wagtail__wagtail-356,ee68f46554f5024c443da29ed842f0ed0c3c0c2e,147,60,87,0.28654325008392334,1.2606945347215515e-05
wagtail__wagtail-426,f3c871507ae1031a399184d02404a80968fffe07,218,28,190,0.24058164656162262,0.14792406558990479
wagtail__wagtail-426,f0336fec46a941eb474ee1980487f2411cb4b185,267,53,214,0.22150926291942596,6.748050964233698e-06
wagtail__wagtail-426,cf33bcbfbf826da61024c9fed5ff1503d5e0e369,246,1,245,0.23048977553844452,0.9492946267127991
wagtail__wagtail-6442,57381ec39206272784831bb77dddb9f11ba322f5,208,3,205,0.4495598375797272,0.9001793265342712
wagtail__wagtail-7512,92c8d8e9574318ae475c3be7c66d357ed8ef6342,178,25,153,0.339476615190506,0.47268345952033997
wagtail__wagtail-8006,039b36031b83c2a09405921f8c419fad74dbf52d,34,11,23,0.4750801622867584,0.5789243578910828
wagtail__wagtail-9236,88cc36875a110c7c1e8a283b1a695d59998deea9,101,11,90,0.4098171591758728,0.5912512540817261
