bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,853,8,845,0.14771632850170135,-0.9162529110908508
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,20,1,19,0.3963468670845032,-0.8051801919937134
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,29,10,19,0.3430691659450531,-0.8664382696151733
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,571,4,567,0.2693433165550232,-0.8453744649887085
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,501,5,496,0.3198379874229431,-0.8350247144699097
jupyterlab__jupyterlab-8956,4bb7624ee6674515646873e269e08b72ac258f8a,1197,7,1190,0.2673693001270294,-3.1887898445129395
jupyterlab__jupyterlab-1503,d57097950ad913dfac4bf319fdabc93e7c63c7c6,278,2,276,0.20784816145896912,-0.8113622069358826
jupyterlab__jupyterlab-1503,f386174b692dd18c696aeb806288400db4f79108,130,4,126,0.266759991645813,-0.8234103918075562
jupyterlab__jupyterlab-2410,5fba5dfd7c000902eb67c6238a2e608ce33e0b4f,606,3,603,0.10914197564125061,-0.8456200361251831
jupyterlab__jupyterlab-2841,d045e85dccf53533e670e6d7af5f2abe14de7e54,463,11,452,0.2399817258119583,-0.8795644044876099
jupyterlab__jupyterlab-9390,2b832a1977dfa6766af5626a61fcef5d0f99fd49,1144,2,1142,0.22484806180000305,-0.8074932098388672
jupyterlab__jupyterlab-3107,656fc38fefabcc786ca041756d0c8b5dd8141f3e,856,1,855,0.1137249544262886,-0.8042305707931519
jupyterlab__jupyterlab-7723,0de688edaac853a931d3b76baba72ce0097d5b62,345,1,344,0.3776922821998596,-0.7951008677482605
jupyterlab__jupyterlab-2409,6b0ced67b0e8d97f587e6bf3d6fe98c10af50820,630,3,627,0.09562452137470245,-0.8486345410346985
jupyterlab__jupyterlab-2215,eb5079b6741359e9ebda17d938d09c52e50ef63e,476,1,475,0.24792376160621643,-0.8103823661804199
jupyterlab__jupyterlab-3127,0cf5ecbfafbeb2b77335e555c9117bb6ca0a4f97,69,1,68,0.315201997756958,-0.80233234167099
jupyterlab__jupyterlab-6451,6044127f84d5ccf60cec1869a526c823962b830d,111,4,107,0.419683039188385,-0.8738107681274414
jupyterlab__jupyterlab-12680,2f543d15e32f57214c3413ebab74ff89bb52810e,1202,6,1196,0.3959032893180847,-1.1409149169921875
jupyterlab__jupyterlab-2038,c57a9eee02105f3d8e8ca55de8a096d13b536b82,36,1,35,0.4235003590583801,-0.8125336170196533
jupyterlab__jupyterlab-2759,4f216705a888de6e3cf0b972fd731c4a4749c446,707,3,704,0.11360681056976318,-0.8217397928237915
jupyterlab__jupyterlab-2759,5e52c5e802fa0b77ee65bfbe892a08244aef58fd,565,8,557,0.18377362191677094,-0.8803842067718506
jupyterlab__jupyterlab-4920,0ea7d024bb5f0fb8898ee5e7532de4ba7af50121,308,2,306,0.28752046823501587,-0.8219383358955383
jupyterlab__jupyterlab-8779,7e00504041a5dab0947321cf05751c1ca46cba2f,891,3,888,0.3630986213684082,-0.8929434418678284
