bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
wagtail__wagtail-118,24fd0a2f1d0d2223631265eae41a26718bd7468d,32,30,2,0.4003543555736542,-0.9740316271781921
wagtail__wagtail-1273,f938585c1fc93d48c7a0eb74c86c3aab5a389c4d,795,10,785,0.20817780494689941,-0.9254631996154785
wagtail__wagtail-9236,88cc36875a110c7c1e8a283b1a695d59998deea9,603,27,576,0.30004632472991943,-1.2955209016799927
wagtail__wagtail-356,ee68f46554f5024c443da29ed842f0ed0c3c0c2e,541,59,482,0.10375651717185974,-2.3870115280151367
wagtail__wagtail-356,6b273e4b6539ca1dfd5ddf6f6ee620146fa95d6a,165,5,160,0.28654325008392334,-0.7337656021118164
wagtail__wagtail-6442,57381ec39206272784831bb77dddb9f11ba322f5,1294,3,1291,0.22675305604934692,-0.7428135871887207
wagtail__wagtail-426,f3c871507ae1031a399184d02404a80968fffe07,105,19,86,0.3211227059364319,-1.0628751516342163
wagtail__wagtail-426,f0336fec46a941eb474ee1980487f2411cb4b185,280,63,217,0.22637002170085907,-2.5592143535614014
wagtail__wagtail-426,cf33bcbfbf826da61024c9fed5ff1503d5e0e369,76,5,71,0.4068247377872467,-0.7968159914016724
wagtail__wagtail-1475,36cc6294a4b54e6a8b0c7e4939ca0a66db492661,564,13,551,0.19000115990638733,-1.182066798210144
wagtail__wagtail-208,adc492adac433aa9bbf0afad8dba9630974b91de,492,28,464,0.19269917905330658,-1.348917007446289
wagtail__wagtail-208,9d6b9590c2ee957f6e33d6fc6de91ec0557f3195,407,27,380,0.22864504158496857,-1.3399590253829956
wagtail__wagtail-208,6e30381c1b30896e34b5ed761d202f95b850beff,374,25,349,0.24562592804431915,-1.2185070514678955
wagtail__wagtail-208,500c4920cdd66176f9c9daa64bfcf54414322b6d,418,1,417,0.22230568528175354,-0.6345344185829163
wagtail__wagtail-208,c144b39b937e7046bb0f4a6875959d6bdc4f22fc,553,10,543,0.12081694602966309,-0.8054794669151306
wagtail__wagtail-208,04d8b0a9ebfefb65b0dea8afee6b193a564e7a40,537,5,532,0.16263246536254883,-0.7430111169815063
wagtail__wagtail-208,027d61158102d46052094b8dc22348782f70f743,400,42,358,0.23087279498577118,-1.9397001266479492
wagtail__wagtail-8006,039b36031b83c2a09405921f8c419fad74dbf52d,1258,34,1224,0.2931995391845703,-2.425577163696289
wagtail__wagtail-2880,d6bdc14aefbd5075ad61836538ba26e351187353,285,39,246,0.31473660469055176,-1.8148587942123413
wagtail__wagtail-321,69e6b7f4f43bbeedbd9f1886d8381d670f9767a9,400,6,394,0.23175600171089172,-0.8227853178977966
wagtail__wagtail-7512,92c8d8e9574318ae475c3be7c66d357ed8ef6342,1,10,-9,0.4925885796546936,-0.8816441297531128
wagtail__wagtail-1623,53dbe297a30fcc90491f1aae898549a3d9d8e814,196,2,194,0.31349340081214905,-0.843975841999054
