bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
79006,73d5a8a51c7d3a356474e32bb27987df5eb3f58b,557,138,419,0.2420581877231598,-2.058682918548584
79006,efcadb229ccf1a5791184c2f02d8e69daedee64c,3037,238,2799,0.17213477194309235,-2.058682918548584
79006,3731351774dc2cc9947a8dd55a9ce1f516c70c18,40,33,7,0.3427630364894867,-2.058682680130005
75275,1b4e980e5bb539b0dc26db03cbe599d0c7e5e282,1485,252,1233,0.267151415348053,-3.393303871154785
70413,f0df17fc3040d6b79862ac2d9d051f3be1b2daad,181,29,152,0.40264856815338135,-1.837295413017273
70413,b78b9c4ee16d33d3df97e36141d5d65ea04b9615,50,43,7,0.4418236017227173,-3.140018939971924
79432,dc95e8e095766aebcb0ad4e44f65aaec4c3d02e5,4,37,-33,0.5114098787307739,-3.3451733589172363
80863,190e84099c19e02aac510548fe245192848fda05,210,17,193,0.3874402642250061,-0.5832865238189697
65325,1b2d9206dae2041f054917985a841c09a59f2aa4,1209,151,1058,0.3801232576370239,-2.459656238555908
69561,18ac8137b25f06f1070d6b0685feb140a1b3ae60,2122,23,2099,0.31160351634025574,-1.7432961463928223
66225,74a8aed46b978b92b598135fc04b15c6cc7a4edd,236,107,129,0.460619181394577,-2.1030569076538086
79862,c7a36fad264222d2a5e65cfe9cd61c29f372b157,172,3,169,0.4247751832008362,-0.4896579384803772
70638,a40d219ef2eb00fc3cb837e341fc84161c5944d9,154,71,83,0.4941946268081665,-2.1543965339660645
73983,953c78dce213862fceff87c9a4b5d6cf85126d61,3167,223,2944,0.3067437410354614,-3.5275518894195557
82179,93355b5fceff674d3d33220f99d5370667cae99a,1238,106,1132,0.27190810441970825,-2.9863007068634033
81188,d17704d31bd1caf0b038ed46238aee068aaa459b,233,14,219,0.4331151843070984,-0.5756692886352539
58282,857d950f28c905da85cb17be01e26684d71df6e4,3305,1,3304,0.150495707988739,-0.6104086637496948
59351,ec74b1b6ed944e883b58aa684be3e282485fd99a,4,158,-154,0.40592971444129944,-2.2652783393859863
