bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,853,51,802,0.14771632850170135,-3.624140501022339
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,20,291,-271,0.3963468670845032,-3.824833393096924
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,29,17,12,0.3430691659450531,-3.7220911979675293
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,571,93,478,0.2693433165550232,-3.627995252609253
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,501,51,450,0.3198379874229431,-3.359130382537842
jupyterlab__jupyterlab-8956,4bb7624ee6674515646873e269e08b72ac258f8a,1197,52,1145,0.2673693001270294,-3.3421926498413086
jupyterlab__jupyterlab-1503,f386174b692dd18c696aeb806288400db4f79108,130,25,105,0.266759991645813,-3.6660971641540527
jupyterlab__jupyterlab-1503,d57097950ad913dfac4bf319fdabc93e7c63c7c6,278,24,254,0.20784816145896912,-3.642366409301758
jupyterlab__jupyterlab-2410,5fba5dfd7c000902eb67c6238a2e608ce33e0b4f,606,83,523,0.10914197564125061,-3.7044754028320312
jupyterlab__jupyterlab-2841,d045e85dccf53533e670e6d7af5f2abe14de7e54,463,67,396,0.2399817258119583,-3.6880147457122803
jupyterlab__jupyterlab-9390,2b832a1977dfa6766af5626a61fcef5d0f99fd49,1144,292,852,0.22484806180000305,-3.8278145790100098
jupyterlab__jupyterlab-3107,656fc38fefabcc786ca041756d0c8b5dd8141f3e,856,240,616,0.1137249544262886,-3.795833110809326
jupyterlab__jupyterlab-7723,0de688edaac853a931d3b76baba72ce0097d5b62,345,293,52,0.3776922821998596,-3.8076841831207275
jupyterlab__jupyterlab-2409,6b0ced67b0e8d97f587e6bf3d6fe98c10af50820,630,9,621,0.09562452137470245,-3.304527997970581
jupyterlab__jupyterlab-2215,eb5079b6741359e9ebda17d938d09c52e50ef63e,476,279,197,0.24792376160621643,-3.626980781555176
jupyterlab__jupyterlab-3127,0cf5ecbfafbeb2b77335e555c9117bb6ca0a4f97,69,278,-209,0.315201997756958,-3.7987279891967773
jupyterlab__jupyterlab-6451,6044127f84d5ccf60cec1869a526c823962b830d,111,51,60,0.419683039188385,-3.630289077758789
jupyterlab__jupyterlab-12680,2f543d15e32f57214c3413ebab74ff89bb52810e,1202,82,1120,0.3959032893180847,-3.551736831665039
jupyterlab__jupyterlab-2038,c57a9eee02105f3d8e8ca55de8a096d13b536b82,36,34,2,0.4235003590583801,-3.7136435508728027
jupyterlab__jupyterlab-2759,5e52c5e802fa0b77ee65bfbe892a08244aef58fd,565,54,511,0.18377362191677094,-3.5587146282196045
jupyterlab__jupyterlab-2759,4f216705a888de6e3cf0b972fd731c4a4749c446,707,60,647,0.11360681056976318,-3.6418042182922363
jupyterlab__jupyterlab-4920,0ea7d024bb5f0fb8898ee5e7532de4ba7af50121,308,46,262,0.28752046823501587,-3.7416434288024902
jupyterlab__jupyterlab-8779,7e00504041a5dab0947321cf05751c1ca46cba2f,891,129,762,0.3630986213684082,-3.6796226501464844
