bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,853,1,852,0.14771632850170135,-2.4447076320648193
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,20,4,16,0.3963468670845032,-2.3437280654907227
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,29,9,20,0.3430691659450531,-2.5325801372528076
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,571,18,553,0.2693433165550232,-2.4699482917785645
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,501,22,479,0.3198379874229431,-2.602263927459717
jupyterlab__jupyterlab-8956,4bb7624ee6674515646873e269e08b72ac258f8a,1197,8,1189,0.2673693001270294,-2.4331862926483154
jupyterlab__jupyterlab-1503,f386174b692dd18c696aeb806288400db4f79108,130,7,123,0.266759991645813,-2.44123911857605
jupyterlab__jupyterlab-1503,d57097950ad913dfac4bf319fdabc93e7c63c7c6,278,15,263,0.20784816145896912,-2.6310524940490723
jupyterlab__jupyterlab-2410,5fba5dfd7c000902eb67c6238a2e608ce33e0b4f,606,37,569,0.10914197564125061,-2.6778879165649414
jupyterlab__jupyterlab-2841,d045e85dccf53533e670e6d7af5f2abe14de7e54,463,234,229,0.2399817258119583,-2.9218170642852783
jupyterlab__jupyterlab-9390,2b832a1977dfa6766af5626a61fcef5d0f99fd49,1144,5,1139,0.22484806180000305,-2.4785962104797363
jupyterlab__jupyterlab-3107,656fc38fefabcc786ca041756d0c8b5dd8141f3e,856,6,850,0.1137249544262886,-2.451051950454712
jupyterlab__jupyterlab-7723,0de688edaac853a931d3b76baba72ce0097d5b62,345,40,305,0.3776922821998596,-2.660208225250244
jupyterlab__jupyterlab-2409,6b0ced67b0e8d97f587e6bf3d6fe98c10af50820,630,36,594,0.09562452137470245,-2.7129411697387695
jupyterlab__jupyterlab-2215,eb5079b6741359e9ebda17d938d09c52e50ef63e,476,72,404,0.24792376160621643,-2.5068509578704834
jupyterlab__jupyterlab-3127,0cf5ecbfafbeb2b77335e555c9117bb6ca0a4f97,69,19,50,0.315201997756958,-2.5835628509521484
jupyterlab__jupyterlab-6451,6044127f84d5ccf60cec1869a526c823962b830d,111,16,95,0.419683039188385,-2.47426176071167
jupyterlab__jupyterlab-12680,2f543d15e32f57214c3413ebab74ff89bb52810e,1202,27,1175,0.3959032893180847,-2.4090776443481445
jupyterlab__jupyterlab-2038,c57a9eee02105f3d8e8ca55de8a096d13b536b82,36,14,22,0.4235003590583801,-2.6854043006896973
jupyterlab__jupyterlab-2759,5e52c5e802fa0b77ee65bfbe892a08244aef58fd,565,270,295,0.18377362191677094,-2.8976211547851562
jupyterlab__jupyterlab-2759,4f216705a888de6e3cf0b972fd731c4a4749c446,707,34,673,0.11360681056976318,-2.7657060623168945
jupyterlab__jupyterlab-4920,0ea7d024bb5f0fb8898ee5e7532de4ba7af50121,308,9,299,0.28752046823501587,-2.1450271606445312
jupyterlab__jupyterlab-8779,7e00504041a5dab0947321cf05751c1ca46cba2f,891,5,886,0.3630986213684082,-1.7061352729797363
