bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,853,3,850,0.14771632850170135,-0.7974377870559692
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,20,1,19,0.3963468670845032,-0.7666376829147339
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,29,10,19,0.3430691659450531,-0.8615357875823975
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,571,5,566,0.2693433165550232,-0.8397260904312134
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,501,5,496,0.3198379874229431,-0.8086063861846924
jupyterlab__jupyterlab-8956,4bb7624ee6674515646873e269e08b72ac258f8a,1197,286,911,0.2673693001270294,-3.9712042808532715
jupyterlab__jupyterlab-1503,f386174b692dd18c696aeb806288400db4f79108,130,3,127,0.266759991645813,-0.7757724523544312
jupyterlab__jupyterlab-1503,d57097950ad913dfac4bf319fdabc93e7c63c7c6,278,5,273,0.20784816145896912,-0.8465166091918945
jupyterlab__jupyterlab-2410,5fba5dfd7c000902eb67c6238a2e608ce33e0b4f,606,3,603,0.10914197564125061,-0.8641791343688965
jupyterlab__jupyterlab-2841,d045e85dccf53533e670e6d7af5f2abe14de7e54,463,5,458,0.2399817258119583,-0.8368097543716431
jupyterlab__jupyterlab-9390,2b832a1977dfa6766af5626a61fcef5d0f99fd49,1144,3,1141,0.22484806180000305,-0.7724301815032959
jupyterlab__jupyterlab-3107,656fc38fefabcc786ca041756d0c8b5dd8141f3e,856,1,855,0.1137249544262886,-0.7557973861694336
jupyterlab__jupyterlab-7723,0de688edaac853a931d3b76baba72ce0097d5b62,345,1,344,0.3776922821998596,-0.751418948173523
jupyterlab__jupyterlab-2409,6b0ced67b0e8d97f587e6bf3d6fe98c10af50820,630,2,628,0.09562452137470245,-0.8653404712677002
jupyterlab__jupyterlab-2215,eb5079b6741359e9ebda17d938d09c52e50ef63e,476,1,475,0.24792376160621643,-0.7776355743408203
jupyterlab__jupyterlab-3127,0cf5ecbfafbeb2b77335e555c9117bb6ca0a4f97,69,1,68,0.315201997756958,-0.7555292844772339
jupyterlab__jupyterlab-6451,6044127f84d5ccf60cec1869a526c823962b830d,111,1,110,0.419683039188385,-0.7977657914161682
jupyterlab__jupyterlab-12680,2f543d15e32f57214c3413ebab74ff89bb52810e,1202,3,1199,0.3959032893180847,-0.9136497378349304
jupyterlab__jupyterlab-2038,c57a9eee02105f3d8e8ca55de8a096d13b536b82,36,2,34,0.4235003590583801,-0.8497631549835205
jupyterlab__jupyterlab-2759,4f216705a888de6e3cf0b972fd731c4a4749c446,707,6,701,0.11360681056976318,-0.8676942586898804
jupyterlab__jupyterlab-2759,5e52c5e802fa0b77ee65bfbe892a08244aef58fd,565,4,561,0.18377362191677094,-0.8437561988830566
jupyterlab__jupyterlab-4920,0ea7d024bb5f0fb8898ee5e7532de4ba7af50121,308,3,305,0.28752046823501587,-0.7992519736289978
jupyterlab__jupyterlab-8779,7e00504041a5dab0947321cf05751c1ca46cba2f,891,3,888,0.3630986213684082,-0.89400315284729
