bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
PrefectHQ__prefect-1525,dc18e97fcfedda802d07970715b01027b9cc9992,466,10,456,0.22965513169765472,-0.08769586682319641
PrefectHQ__prefect-134,45a64b879d0a4d6936128f56ee9f4b2693b231c2,55,1,54,0.18243643641471863,-0.014885399490594864
PrefectHQ__prefect-2031,bb2692f0a5b976db136fa87772f2a20abb76b785,172,12,160,0.41719287633895874,-0.7143617272377014
PrefectHQ__prefect-578,6324e8280460e370a3cc972b903288f5744be300,146,27,119,0.18289092183113098,-0.9865454435348511
PrefectHQ__prefect-746,cc936393d42bfed98dfe595635664d2e4fc464d8,252,70,182,0.1492641717195511,-1.7368420362472534
PrefectHQ__prefect-746,ea900763cf93d948753aeace014bc5509a31ccdf,263,88,175,0.1443740278482437,-2.0081946849823
PrefectHQ__prefect-746,6084f00c0ac8545c6a79803907d7afb200271b70,264,40,224,0.14366436004638672,-1.196272373199463
PrefectHQ__prefect-746,29664b85ddc06e9ea2bd2aaaa488b66307efb06f,117,17,100,0.2644937038421631,-0.49551907181739807
PrefectHQ__prefect-746,2c995e3a8d20c31581f570d46c9fc3eabf5183d8,188,65,123,0.20110675692558289,-1.6435281038284302
PrefectHQ__prefect-158,5b49bc6cd8dfb8332e8ae401c3bb866c136e8f8d,56,32,24,0.3474847674369812,-1.5472466945648193
PrefectHQ__prefect-158,682fb497b5386ea42d1e00acde4b9a2949489b16,40,1,39,0.37851208448410034,-0.009922552853822708
PrefectHQ__prefect-158,62c6d4c28e7ba25ebcab26d73f0b3e99fa0a1120,74,4,70,0.308354914188385,-0.020583095028996468
PrefectHQ__prefect-158,8cbc80eb56cfaf9beb898088ef1edc1075015f78,75,24,51,0.30684006214141846,-1.221681833267212
PrefectHQ__prefect-158,07450a943cdaf82a572fbf08df51182ff374d4f1,106,3,103,0.21556700766086578,-0.011830352246761322
PrefectHQ__prefect-312,c26165341c2b86efd5ea8fb91c1a07e465ae0387,19,15,4,0.43733131885528564,-0.6406810283660889
PrefectHQ__prefect-312,a275962f7b88f81f7ccb6e421ef28457c23014d4,22,2,20,0.4251761734485626,-0.011544624343514442
PrefectHQ__prefect-907,7ee889cd9e7cef7944bbc9ee9e7fad21bb7a921b,225,3,222,0.3482271432876587,-0.04638517647981644
PrefectHQ__prefect-907,17c63a13fc06f1d639b3d169fac29877bdd90632,436,20,416,0.20624873042106628,-1.2784515619277954
PrefectHQ__prefect-907,b191fc4ce77b269be5657ba55b50f4d4f4a57c8a,359,1,358,0.2873828709125519,-0.008436446078121662
PrefectHQ__prefect-907,6fdf88bfdeb6e571e11ba037d9a41d724da496af,364,8,356,0.28514787554740906,-0.19174978137016296
