bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
numpy__numpy-14882,1c3b11844b45ea5660db5b77a3b02ff5a2712589,64,98,-34,0.6394898891448975,0.3276103436946869
numpy__numpy-18634,83f06fde8581ac56880e358156fd5d7c48b0a011,43,1242,-1199,0.5275682806968689,-0.04573393240571022
numpy__numpy-18634,bfd08e4691aa426c1a65e791d73e4f7abb08a168,743,1313,-570,0.3343447744846344,-0.08013381063938141
numpy__numpy-13948,739ae7711d2215831e3f4bbdfa98e45f79377688,185,2,183,0.39376455545425415,0.31834086775779724
numpy__numpy-3495,eda3ef97cd73719365072e71521c2341c18707f5,2,12,-10,0.5906985402107239,0.46662628650665283
numpy__numpy-3866,8f0027616961d19cf968e7eba698893538609844,337,6,331,0.2801106572151184,0.49448123574256897
numpy__numpy-3866,44cc2b1632e2c935cd9c187647c5a58710de80e1,33,1,32,0.4050058424472809,0.6106874346733093
numpy__numpy-9817,130817e7a150d31da2b5a5c119584c58f46e50e6,381,1,380,0.3241639733314514,0.6030656099319458
numpy__numpy-5398,9ca9136dd9221f46b4e0cab88d6d04f1ab239d9e,84,2,82,0.42173025012016296,0.6347104907035828
numpy__numpy-5398,c14d2e3575ee953b15008ea439710c1222fe6d9e,51,6,45,0.4577304720878601,0.6083645820617676
numpy__numpy-5398,db491e6f5d74ca863a1b30818f46d0253f2563f9,394,113,281,0.27658602595329285,0.3837199807167053
numpy__numpy-19613,813063adb6de06481992e6ce3247d21bf5af0274,217,2,215,0.41118741035461426,0.37705332040786743
numpy__numpy-16022,93eb74be31a8c15f417176d7ac09e246c3acbd5f,4,1,3,0.6903221607208252,0.6859185099601746
numpy__numpy-16022,d2986012b7ace617e407eeaa62d7b87e4167489a,62,2,60,0.5965926051139832,0.6317245364189148
numpy__numpy-22519,8830b814743c35ba471ae96012c54600aca9f280,334,1,333,0.34000203013420105,0.6668938398361206
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,161,18,143,0.44937413930892944,0.4591222107410431
numpy__numpy-6453,c5b5b5a8f0ea8024638f923618d173a000d1ea29,262,39,223,0.39913955330848694,0.34793174266815186
numpy__numpy-16627,d0ed3d38111171f8fea9a5512a04733b71f80b8f,334,3,331,0.3572928309440613,0.4380449652671814
numpy__numpy-16627,a9ee74a5be2560ac73649476bd973d8ffb349ac0,405,28,377,0.34616515040397644,0.3903488516807556
numpy__numpy-16627,412d9fe6a13a754ae8613d7c8a642cbba468a19d,328,13,315,0.3590431809425354,0.4096362292766571
numpy__numpy-9976,8f2e45fa53cad636a00af3ebb456d54536b97baa,74,1,73,0.43368715047836304,0.3646300137042999
numpy__numpy-8646,3bbee0258bfc1a9739ab24fb3a259cb471a5f6da,237,92,145,0.20039066672325134,0.26581358909606934
numpy__numpy-23010,b64f8ab173cb080e8624c4ea9bc499748a85f502,1302,498,804,0.28867679834365845,0.25324535369873047
numpy__numpy-23010,138f2e9a051ada4461aaf218eb32d50458294a27,372,599,-227,0.38223302364349365,0.23053625226020813
numpy__numpy-23010,ca07bd180c0ea0c3f22282e10ba0ddde6cbba65a,939,639,300,0.3255554437637329,0.21914033591747284
numpy__numpy-23010,a94ba1139168a84bbdd949dc9c9db8373f9c63c6,1318,717,601,0.2855338752269745,0.20115071535110474
numpy__numpy-23010,587fab3435735cb7f7b790fc4cf73d7f75d37388,1866,1032,834,0.13881376385688782,0.12406153976917267
numpy__numpy-23010,2e35f5bb9e1d10fbba672495ec82e16b11f05c4b,1355,952,403,0.2845021188259125,0.14497679471969604
numpy__numpy-19098,ae1e6a180625e737506baedf049994146237443d,187,2,185,0.3959144353866577,0.5717875361442566
numpy__numpy-12488,0379ecb1ada2ab9b39f1100515a3ac51b343e458,118,164,-46,0.4220801591873169,0.1886826753616333
